cap_shape class
p e 1.000000000000
p e 0.999999999382
p p 0.999999983959
p e 0.999999999771
e e 0.963438291906
p e 1.000000000000
p p 0.999999978387
p p 0.997585117654
e p 0.989584291478
p e 0.999999992568
p e 0.999999999899
p e 0.991412675870
p e 0.999999999759
p p 0.999998699628
p p 0.999999993834
p p 0.999999568392
p p 0.996201479232
p e 0.999999999026
p p 1.000000000000
p p 0.999995475517
p p 0.999999929689
p e 0.961975628041
p p 0.999999999910
p e 1.000000000000
p e 1.000000000000
e p 0.883575996069
p e 0.999995323961
p e 0.999999983093
e e 0.831849673603
p e 1.000000000000
p p 0.999999999999
e p 0.836072804525
p p 0.999999999865
p p 0.999999999999
p p 0.627429251479
p p 0.999999897493
p e 0.999999999999
p p 0.998561615937
p p 0.999999999974
p e 0.999999993112
e p 0.969655519286
p e 1.000000000000
p e 0.999999999988
p p 0.999973453995
p p 0.999999999671
e p 0.910718575499
p p 0.686577935772
p p 0.999999991268
p p 0.999999975337
p e 1.000000000000
p p 0.999999999991
p e 1.000000000000
p p 1.000000000000
p p 0.999999881669
p p 1.000000000000
p e 0.999999999962
p e 0.999999998214
p p 0.999999999949
p e 0.999998242529
p p 0.999999962846
p p 0.998217303399
p p 0.999991799511
p e 0.999999999998
p e 0.999999885144
p e 0.999987573570
p p 0.998865260094
p e 0.981910333110
p e 0.999999995459
p p 0.999999995576
p e 0.999999998959
e p 0.882206529183
p p 0.999999999999
p p 0.999999999450
p e 0.995487351658
p p 0.998181787252
e p 0.945495050794
p e 0.999999166199
p p 0.936449317825
p p 0.999999999997
p p 1.000000000000
p p 0.999999863703
p p 0.989597854470
p p 0.999999999993
p e 0.999999908577
p p 0.999999970185
p e 0.999999999999
p p 0.999999823022
p p 0.999999931559
p e 0.999999184989
p p 0.999999990685
p e 0.999999985920
p e 0.999999998969
p p 0.999999936395
p p 0.999999277959
e e 0.999916233959
p e 0.999999961661
p e 0.999999999999
p e 0.999999999439
p p 0.999999999203
p p 0.999998606744
p e 0.999749933933
p e 0.999999998029
e p 0.937417350864
p p 0.874989832765
p p 0.774327064300
p p 0.938258567893
p e 0.999994104466
p p 0.998213393133
p p 0.999999996867
e p 0.994695450700
p e 0.999999999747
p e 0.999999963374
p p 0.999995535708
e p 0.998465106299
p e 0.999999999579
p p 0.999999999986
p p 0.999999999762
p p 0.999999998070
p e 0.999999997609
p e 1.000000000000
p p 0.999995475517
p p 0.833529029616
p p 0.999951428368
p p 0.999999999997
p p 0.996655781150
p p 0.999999999874
p p 0.999999980746
p p 0.999999999312
p p 0.999999980999
p p 0.999999996277
p e 0.999999999988
p p 0.998561615937
p e 0.979707515901
p p 0.999999999992
p p 1.000000000000
p p 0.999993695196
p p 0.998463148695
p e 0.999994384969
p p 0.999999999994
p p 0.999999834083
p p 0.999999999997
p e 0.999999875219
p p 0.999999999986
p p 0.999998806798
p p 0.999999944196
p p 0.999999989194
p p 0.999999998531
p p 0.999999999985
p p 0.999999999983
p e 0.999999999996
p e 0.999999999995
p e 0.999999999785
p p 0.999999999759
p p 0.998325089942
p p 0.999999999671
p p 0.880276130180
p p 0.999999999856
p p 0.937233025695
p p 0.999999765698
p p 0.999999996326
p p 0.999999961998
p e 0.999999166199
p p 0.999999228454
p p 0.999999991151
p e 0.999999999782
p e 0.999999618524
p p 0.999999999457
p e 0.999999901030
p p 0.999999999751
p p 0.999999615705
p p 0.999999936224
p p 0.999999995196
p p 0.969694238137
p e 0.999999997609
p e 0.999387531027
p e 1.000000000000
p p 0.999999999144
p e 0.999932808602
p p 0.999999999997
p e 1.000000000000
p e 0.999999999977
p p 0.999999999994
p e 0.999999901030
p e 0.999999999775
p e 0.999925649903
p e 1.000000000000
p e 0.999999999998
p p 0.998463148695
p e 0.999999338672
p p 0.999999998199
p p 0.999999979774
p e 0.999999999669
p e 1.000000000000
p e 0.999999999944
p e 0.999999998383
p p 0.814166865592
p p 0.999999999999
p p 0.999999981371
p e 0.999994937343
p e 0.999883626157
p p 0.700295948379
p e 1.000000000000
p p 0.999999784196
p e 1.000000000000
p p 0.999999999734
p p 0.999986549848
p e 0.999999166199
p p 0.999999998311
p p 0.999997443481
p e 0.999999300215
p e 0.999999999736
p e 0.999998776893
p e 0.999999353575
p p 0.999999988490
p p 0.999999999846
p e 0.999999999998
p p 1.000000000000
p e 0.999999827018
p p 0.999999999767
p p 0.996433158808
p p 0.999999990974
p e 0.999999736136
p p 0.999999695225
p p 0.999999794986
p e 1.000000000000
p p 0.999999999874
e p 0.996498581363
p e 0.999999999292
p p 0.874989832765
p p 0.999999932460
p p 0.999999999979
p p 0.999999999951
p e 0.999999999997
p p 0.999999999999
p p 1.000000000000
p e 1.000000000000
p e 0.999999995992
p e 1.000000000000
p p 0.999999999910
p p 0.999999136784
p p 0.999999999999
p e 1.000000000000
p p 0.940310587307
p p 0.999999999987
p e 1.000000000000
p p 1.000000000000
e p 0.999409452819
p p 0.999999999973
p e 0.959860966911
p p 0.717267094779
p p 0.999699761954
p p 1.000000000000
p p 0.967599677751
e e 0.805668704317
e p 0.941098377713
p e 0.999999999997
p p 0.999999999493
p p 0.996611342664
p p 0.999997433479
p p 0.999999926671
p e 0.999999293570
p e 1.000000000000
p p 0.999999999997
p e 0.999998242529
p p 1.000000000000
p p 0.999999999697
p e 1.000000000000
p p 0.999999890659
p e 0.999999996031
p p 0.999999987701
p p 0.999999999564
p p 0.999998780901
p p 0.999999998045
p e 0.999999999016
p e 1.000000000000
p p 0.999999863119
p p 0.999999968600
p e 0.999999999999
p e 0.999999338672
p p 0.999998939727
p p 0.999985589137
p e 0.999999993112
p e 1.000000000000
p e 0.999999999979
p p 0.999999993324
e p 0.990271917054
p p 0.998551237360
p e 0.999999166199
p p 0.996433628342
p p 0.999999999987
p p 0.999999999971
p e 1.000000000000
p e 1.000000000000
p e 0.999999999936
p e 0.999999999853
p e 0.999999940754
p p 0.999999999979
p p 0.999999999865
p p 0.999999615705
p p 0.971653720562
p e 1.000000000000
p e 1.000000000000
p e 0.999999998961
p e 0.999999804265
p p 0.999999999450
e p 0.999956080408
p p 0.999999977284
p p 0.999999999994
p p 0.990048004556
p e 0.999994104466
p e 0.999999999999
p p 0.999999999954
p p 0.999999999121
p e 0.999999999983
p p 1.000000000000
p e 0.999999997609
p e 0.995685453303
p p 0.999999999957
p p 1.000000000000
p p 0.999999999192
p p 0.999999872448
p p 0.999997443481
p e 0.999999999979
e p 0.847034807722
p e 0.888275645145
p e 0.999998687291
p p 0.999997433479
e p 0.837880058843
e p 0.944808427655
p e 0.999999999993
p p 0.999999998406
p e 1.000000000000
e p 0.833346243257
p e 0.999999999996
e p 0.990271917054
p p 0.999999999999
p e 0.999999999848
e p 0.847034807722
p p 0.999999996643
p e 0.999999993112
p e 0.999994937343
p p 0.999999999572
p p 0.999999972098
p e 0.999999283993
p p 0.999999999804
e p 0.836072804525
p p 1.000000000000
p p 0.996129122627
e p 0.842708950756
p e 0.999999999912
p e 0.999987573570
p p 0.999999999987
p e 0.999994104466
p e 0.823662391445
p p 0.999999982584
e e 0.847274519639
p e 0.999886270785
p p 1.000000000000
p p 0.833529029616
p p 0.992388797164
p p 0.998561615937
p e 0.999999983093
p p 0.999999292088
p e 1.000000000000
e p 0.998257736200
p p 0.999821565335
p p 0.999999621776
p e 0.999999999026
p e 0.999974819708
p p 0.999999999993
p p 0.999999781319
p e 1.000000000000
e e 0.974037523082
p p 0.999999969788
p e 0.999999999026
p e 0.999999999958
p e 0.999999966848
p p 0.999999999999
p p 0.998551237360
p p 0.999999936224
p e 0.999999338672
e p 0.996673069846
p p 0.999999995544
p p 0.999999967491
p p 0.999999999986
p p 0.967181851035
p p 0.992892604298
p e 0.999999982072
p e 0.999999993112
p p 0.999999999958
p p 1.000000000000
p e 1.000000000000
p e 0.999999893915
p p 0.999999971726
p e 0.999999999979
p e 0.999999999741
p e 0.999999166199
p e 0.999999999968
p e 0.999999999998
p e 0.999999975247
p e 0.999999999921
p p 0.880276130180
p p 0.999999999457
p e 0.999999999836
p e 0.999999999968
e p 0.996716701515
p p 0.999999999993
p p 0.988716302681
p p 0.717267094779
p p 0.999993695196
p e 0.999987573570
p p 0.999997767849
p e 0.999999953879
p e 0.999995323961
p e 1.000000000000
p p 0.999999985863
p e 0.996574867343
p p 0.886912668736
p p 0.998302795710
p p 0.999999996643
p e 0.999999999982
p p 0.935263022686
p p 0.999999999987
p e 1.000000000000
p p 1.000000000000
p p 0.999999565273
p p 0.608012590954
p e 0.999999998430
p e 1.000000000000
p p 0.999999999203
p e 0.999999994152
p p 0.999999999903
p p 0.999999810381
p e 0.999999983093
p e 0.999999998251
e p 0.999723094136
p p 0.999986726821
p p 0.999859847960
p p 0.999904552869
p e 0.999999166199
p p 0.999999996011
p e 1.000000000000
p e 0.999999997609
p p 0.999999999957
p p 0.999999994605
p p 0.999999999973
p e 1.000000000000
p p 0.999999999988
p e 0.999999999932
p p 0.999999999997
p p 1.000000000000
p p 0.999999999742
p p 0.999994928298
p p 0.999999998979
p e 0.999999999983
p p 0.999951238354
p p 0.999811467164
p p 0.999998511220
p e 0.999999999771
p p 0.999999940476
p e 0.999999999867
p e 0.999999999806
p e 0.999995323961
p p 0.999999980040
p e 0.999999166199
p e 0.999999999914
p p 0.999747869845
p p 0.999999999858
p e 0.999999999495
p e 0.999999999993
p p 0.999897749422
p p 0.999911414759
e p 0.944808427655
p p 0.526043175230
p e 0.999999999284
e p 0.979737687618
p e 0.999999983093
p p 1.000000000000
p p 0.999997767849
p e 0.999999983093
p e 0.995685453303
p e 0.999999999999
p e 0.999999166199
p p 0.999999998045
p e 0.999999997178
p e 0.999999283993
p p 0.999999999895
p e 0.999387531027
p p 0.940067532993
p e 0.999999999981
p p 0.999999999895
p e 0.999999377208
p p 0.999999991268
p e 0.999999999850
p e 0.999999999999
p e 0.999999993112
p e 0.999999338672
p p 0.999999999003
p e 0.999999827633
p p 0.940067532993
p p 1.000000000000
e p 0.945495050794
p p 0.939316925251
p p 0.999999241523
p p 0.999999989887
p e 0.999999999988
p p 0.999999646044
p p 0.999999997302
p p 0.999957590839
p e 0.999989236602
p e 0.999999338672
p e 1.000000000000
e p 0.999859681860
e p 0.999741549756
p p 0.999999990499
p p 0.966732449115
p p 0.998157589081
p e 0.999995323961
p e 0.999999999989
e p 0.957021956436
p p 0.967181851035
p e 1.000000000000
p e 0.999999983093
p e 1.000000000000
p p 0.999999998987
e p 0.944808427655
p p 0.999999965780
p p 0.999999999953
p p 0.999999991087
p e 0.999999283993
e p 0.547780168919
p p 0.999999999762
e p 0.844456654351
p e 0.999999999279
p p 0.999999999975
p p 0.999999999144
e p 0.989786028773
p e 0.999994104466
p e 0.998622149731
p p 1.000000000000
p p 0.999999991151
p e 1.000000000000
p p 0.999997576522
p p 0.999983599156
p e 0.999514159660
p e 0.999999999871
p e 0.999999999969
p p 1.000000000000
p p 0.999999999420
e e 0.962001326785
p p 0.999999998138
p e 0.999999999513
p p 0.999999996599
p p 0.999999976981
p p 0.880875225410
p e 0.999999986011
p e 0.999401324936
p p 0.999083178240
p e 0.999999999970
e p 0.999992613853
p e 0.999999901813
p p 0.998463148695
p e 0.999995323961
p e 0.999999999984
p e 0.999999997288
p p 0.999910529601
p e 0.999994104466
p e 0.999998768934
e p 0.998333763196
p e 0.999999946240
p e 0.952529692140
e p 0.990398689167
p e 0.999999999142
p e 0.999999999026
p p 0.996611342664
p p 0.999994866971
p p 0.999999882518
p p 1.000000000000
p e 0.999999999026
p p 0.999999969706
p e 0.999999999999
p p 0.988716302681
p e 0.999955258910
p p 0.999999880952
p e 0.999999996587
p p 0.931243961405
p p 0.999999999975
e p 0.999438963612
p e 0.999999999747
p e 0.999999999998
p e 0.999999997609
e e 0.999809882702
p p 0.999994151902
p p 0.999999999974
p p 0.821802774868
p e 0.999999993112
p e 0.999999999844
p e 0.923515155334
p p 0.999999834083
p p 0.999999999897
p p 0.999986549848
p p 0.999999999994
p p 0.823734184683
p e 0.999978177841
p e 0.999514159660
p e 0.999999999719
p e 0.999999999999
p e 0.999999166199
p e 0.999999999897
p e 0.999999999981
e p 0.559944319234
p e 1.000000000000
p p 0.999999987668
p p 1.000000000000
p p 0.992388797164
p e 0.999995323961
e e 0.999894390242
p e 0.999999999999
p p 0.999977627944
e p 0.994764882007
p p 0.999999988490
p e 0.999999338672
p e 0.996574867343
p e 1.000000000000
p p 0.998071802824
p e 0.999999999999
p e 0.999999999983
p e 0.999999999992
p e 0.999999993112
p p 0.999999996599
p e 0.999999993112
e p 0.707826834739
p p 0.998561615937
p p 0.999999999902
p e 0.999999999763
p e 0.999996155012
p e 0.999999999026
p e 0.999707063265
p p 0.999735542766
p e 0.999999997609
p p 0.999999988470
p p 0.994326140283
p e 0.999999999989
e p 0.995112183987
p e 0.999999999999
p e 0.999999338672
p p 0.999999784196
p e 0.999994104466
p p 0.999999999955
p p 0.999999998299
p e 0.999999154872
p e 0.999999706620
p e 0.925032380862
p e 0.999999999993
p e 0.999999184989
p p 0.720816050710
p p 0.999999999727
p p 0.999999999675
p p 0.786154652862
p p 0.714573316249
p e 0.999987573570
p e 0.999995323961
p e 0.999994104466
p p 0.999495866798
p e 0.999999997178
p e 0.999999999998
p e 1.000000000000
p p 0.999999999256
p e 0.999999999999
p e 0.999999999997
p e 0.999999999997
p p 0.999999999997
p p 0.999999965262
p p 1.000000000000
p p 0.999999988642
p p 0.999951428368
p e 0.999999338672
p e 0.995685453303
p p 0.967181851035
e p 0.999723094136
p e 0.999999748103
p e 1.000000000000
p p 0.988129473529
p p 0.549386271004
e p 0.990398689167
p e 0.999999999897
p e 0.999999999807
p e 0.999999999272
p p 1.000000000000
e e 0.999497929120
e p 0.999859681860
p e 0.999999997663
p p 0.999999999922
p e 0.999999338672
p e 0.999999117712
p e 0.999999875219
p p 0.999999999923
p e 0.999999999868
p p 0.999999999902
p p 0.999999999807
e p 0.979737687618
p p 0.999999999500
p e 0.999999998463
p e 0.999994104466
p p 0.999904139471
p e 0.999485921770
p e 0.999999994551
p e 0.999999983093
p e 0.999995323961
p p 0.999999301403
e p 0.998333763196
p p 0.999999999994
p p 0.999999999980
p p 0.999999996089
p e 0.999999999998
e p 0.730787518729
p e 0.999999993112
e p 0.882206529183
p e 0.999999999616
p e 0.999999166199
p e 0.999999892847
p p 0.999999990519
p e 0.999999998895
p p 0.700295948379
p e 0.999999999048
p e 0.999999999705
p e 0.999999166199
p e 0.999999997609
p e 0.999994104466
p e 0.999999999982
e p 0.999741549756
p p 0.999999999493
e p 0.802593651794
p p 0.999999999961
p p 0.999997213492
p e 0.999999999993
p e 1.000000000000
p e 0.999999999048
p p 0.969278147280
p e 0.999999300128
p p 0.999904139471
p p 0.998302795710
e p 0.971621075084
p p 0.999999999836
p p 0.999999999954
p e 0.999999999999
p p 0.998551237360
p e 0.999999999886
p p 0.999999999993
p p 0.999999999999
p e 1.000000000000
p e 0.999994104466
p p 0.999998869042
p e 0.999514159660
p e 0.999999999026
p e 0.999994937343
p e 0.999999993112
p e 0.999994937343
p e 0.999514159660
p p 0.999999999536
p e 0.999999999991
p e 0.996574867343
p e 0.999999999997
p e 0.999999993112
p p 1.000000000000
p p 0.998463148695
p e 0.999995323961
p p 0.999999979774
p p 0.999999999977
p p 0.998157589081
p e 0.999999999026
p e 0.999995323961
p e 0.999999884734
p p 0.999999853341
p e 0.999999338672

517
